Year of enrolment,ID,CS101,CS102,MA101,MA112,MA121,GS101,GS102,PH101,PH102,PH103,PH104,ST111,ST112,ST121,ST122,ST132,CS201,CS202,CS203,CS204,MA201,MA202,MA211,MA212,MA272,GS202,GS203,OR201,OR202,ST203,ST204,ST211,CS301,CS302,CS303,CS304,CS305,CS306,CS307,CS308,CS309,CS311,CS312,CS314,MA307,MA308,MA381,MA382,MA392,CS497,CS501,CS502,CS503,CS504,CS505,CS506,CS507,CS508,CS509,CS510,CS512,CS597,CS598,MA419,SW499,MM507
,ST54,56,82,44,68,49,87,40,50,40,52,43,40,53,45,50,68,43,57,43,62,44,45,45,40,40,60,48,80,44,72,42,41,62,58,45,40,43,52,60,49,46,40,44,67,41,50,50,65,59,70,55,54,43,66,50,40,47,69,42,48,46,64,66,46,64,NA
,ST55,68,65,52,50,41,89,42,42,40,54,53,50,40,57,52,63,45,80,49,70,52,55,50,52,51,58,40,53,58,49,44,40,44,57,53,72,63,45,67,57,56,51,50,64,41,51,57,53,40,75,67,55,65,58,61,53,52,58,41,47,64,61,65,69,59,NA
,ST56,67,80,51,71,71,86,45,50,59,46,62,55,76,76,50,41,71,77,81,58,60,71,48,80,74,60,45,87,91,66,73,58,61,82,60,64,77,77,46,61,80,64,82,69,42,57,64,41,58,73,74,71,60,56,60,41,58,69,66,72,89,76,75,52,71,NA
,ST57,60,80,48,65,73,62,61,52,44,53,64,71,67,49,54,77,62,60,40,47,50,59,60,55,55,61,54,82,62,80,92,62,73,65,70,62,70,70,59,56,61,53,57,59,53,56,77,45,62,73,43,64,58,79,61,61,54,72,60,57,51,56,67,57,67,NA
,ST58,49,77,46,41,44,42,53,40,40,40,46,54,48,45,46,47,44,60,44,40,42,51,50,44,56,52,50,65,67,61,72,42,66,53,66,51,74,73,56,67,47,53,52,50,57,54,62,66,59,67,46,52,54,68,45,40,40,58,61,49,40,52,65,51,62,NA
,ST59,73,72,50,50,40,48,56,40,47,60,46,53,40,51,47,40,81,77,74,55,40,44,40,40,60,53,45,54,70,44,60,48,62,74,43,69,65,53,64,61,70,74,80,66,40,44,48,47,71,79,60,60,56,56,58,75,67,60,45,66,68,70,77,43,64,NA
,ST60,46,65,59,41,44,81,42,50,44,49,50,64,59,60,40,40,41,47,69,65,54,55,50,65,48,65,44,61,40,69,65,55,66,74,60,46,70,52,67,71,41,61,67,66,47,62,87,56,63,75,45,65,47,64,79,40,54,71,64,51,41,72,68,59,63,NA
,ST61,68,64,41,50,61,42,49,50,48,42,72,76,74,45,61,51,51,53,60,60,51,58,50,65,50,64,46,46,80,83,84,50,78,86,77,66,74,65,60,62,66,54,60,70,61,66,61,61,64,77,54,61,41,79,55,50,50,68,65,59,58,63,45,78,66,NA
2008-2009,ST62,64,60,50,NA,40,41,45,40,40,40,40,40,40,40,42,43,58,60,43,64,43,42,51,40,47,61,45,52,40,57,62,40,40,78,51,53,46,57,43,50,40,48,61,43,41,49,50,41,89,71,58,50,40,54,52,52,47,41,45,53,40,64,67,42,60,NA
,ST63,76,45,40,NA,42,45,50,43,52,40,41,40,40,46,61,40,53,64,53,64,42,57,56,45,41,53,40,40,40,67,55,40,81,72,53,40,63,44,70,54,45,54,54,62,51,50,46,58,54,63,45,82,40,56,50,65,47,44,58,46,41,64,74,49,63,NA
,ST64,45,41,49,NA,43,48,58,40,40,40,41,41,40,41,52,50,44,56,40,48,40,44,55,46,40,57,44,44,45,40,51,40,46,45,40,46,40,50,40,42,41,50,43,52,40,40,42,40,51,60,58,50,40,70,45,40,43,68,57,57,40,52,56,48,60,NA
